Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
BraMan2,5.6,9.5,10.34,0.63
BraMan2,6.1,11.5,9.11,0.46
BraMan2,6.9,9.2,14.33,0.60
BraMan2,7.3,11.8,17.44,0.62
BraMan2,9.3,15.0,43.85,0.60
BraMan2,9.7,14.6,43.09,0.51
BraMan2,10.7,13.4,41.68,0.47
BraMan2,11.9,16.1,54.56,0.54
BraMan2,12.5,16.0,88.71,0.66
BraMan2,13.7,14.6,68.67,0.55
BraMan2,15.4,15.6,102.27,0.55
BraMan2,15.6,16.2,137.85,0.60
BraMan2,19.6,15.2,189.13,0.55
BraMan2,26.4,21.4,317.92,0.51
BraMan2,28.7,20.5,486.71,0.51
BraPara1,10.0,7.0,18.24,0.61
BraPara1,56.0,38.0,3650.61,0.63
BraPara1,11.0,6.0,44.90,0.64
BraPara1,14.0,19.0,48.93,0.34
BraPara1,21.0,19.0,190.29,0.34
BraPara1,86.0,43.0,9132.65,0.31
BraPara1,12.0,19.0,36.97,0.78
BraPara1,12.0,20.0,94.70,0.78
BraPara1,13.0,16.0,81.73,0.78
BraPara1,16.0,20.0,151.14,0.78
BraPara1,18.0,23.0,265.30,0.78
BraPara1,10.0,11.0,24.30,0.67
BraPara1,10.0,13.0,52.24,0.67
BraPara1,11.0,11.0,54.67,0.67
BraPara1,12.0,10.0,53.46,0.67
BraPara1,13.0,17.0,87.48,0.67
BraPara1,16.0,19.0,162.80,0.67
BraPara1,16.0,17.0,195.00,0.67
BraPara1,17.0,18.0,270.94,0.67
BraPara1,19.0,22.0,329.86,0.67
BraPara1,19.0,21.0,355.98,0.67
BraPara1,21.0,23.0,335.33,0.67
BraPara1,29.0,29.0,1258.70,0.67
BraPara1,37.0,30.0,1928.74,0.67
BraPara1,41.0,29.0,2070.29,0.67
BraPara1,44.0,36.0,3081.13,0.67
BraPara1,49.0,36.0,2293.84,0.67
BraPara1,51.0,30.0,2209.40,0.67
BraPara1,25.0,27.0,413.09,0.67
BraPara1,48.0,29.0,1993.14,0.67
BraPara1,11.0,13.0,12.29,0.46
BraPara1,10.0,7.0,25.42,0.47
BraPara1,28.0,19.0,633.03,0.91
BraPara1,12.0,16.0,103.87,0.92
BraPara1,138.0,49.0,18613.22,0.70
BraPara1,11.0,14.0,90.12,0.85
BraPara1,12.0,12.0,81.38,0.85
BraPara1,13.0,18.0,137.20,0.85
BraPara1,13.0,13.0,103.57,0.85
BraPara1,14.0,16.0,135.18,0.85
BraPara1,27.0,25.0,815.77,0.85
BraPara1,30.0,24.0,747.18,0.85
BraPara1,11.0,10.0,90.19,0.83
BraPara1,28.0,24.0,1312.46,0.83
BraPara1,60.0,34.0,3204.19,0.52
BraPara1,15.0,16.0,149.35,0.93
BraPara1,24.0,19.0,544.36,0.93
BraPara1,14.0,12.0,85.38,0.60
BraPara1,18.0,18.0,247.96,0.60
BraPara1,53.0,23.0,1458.49,0.60
BraPara1,59.0,33.0,2585.00,0.50
BraPara1,11.0,8.0,23.69,0.47
BraPara1,66.0,41.0,9168.95,0.71
BraPara1,11.0,13.0,48.28,0.55
BraPara1,11.0,16.0,77.82,0.55
BraPara1,18.0,17.0,259.02,0.55
BraPara1,19.0,12.0,118.72,0.55
BraPara1,28.0,20.0,767.40,0.55
BraPara1,26.0,19.0,1371.94,0.58
BraPara1,28.0,23.0,542.85,0.57
BraPara1,10.0,15.0,89.77,0.82
BraPara1,18.0,21.0,357.12,0.82
BraPara1,30.0,29.0,1287.21,0.82
BraPara1,13.0,14.0,74.63,0.61
BraPara1,13.0,13.0,74.63,0.61
BraPara1,15.0,20.0,122.82,0.61
BraPara1,36.0,29.0,2032.54,0.87
BraPara1,16.0,16.0,284.75,0.66
BraPara1,67.0,38.0,4921.46,0.58
BraPara1,10.0,15.0,46.51,0.53
BraPara1,10.0,12.0,38.66,0.53
BraPara1,10.0,15.0,51.55,0.53
BraPara1,11.0,17.0,49.87,0.53
BraPara1,18.0,20.0,192.19,0.53
BraPara1,40.0,28.0,1483.18,0.55
BraPara1,10.0,14.0,35.30,0.61
BraPara1,31.0,24.0,699.05,0.46
BraPara1,12.0,16.0,95.94,0.72
BraPara1,10.0,6.0,13.34,0.39
BraPara1,10.0,11.0,35.39,0.39
BraPara1,11.0,14.0,40.01,0.39
BraPara1,11.0,10.0,56.42,0.39
BraPara1,12.0,13.0,54.37,0.39
BraPara1,13.0,9.0,31.80,0.39
BraPara1,10.0,15.0,52.95,0.63
BraPara1,11.0,16.0,46.41,0.63
BraPara1,11.0,14.0,55.33,0.63
BraPara1,11.0,12.0,70.80,0.63
BraPara1,13.0,13.0,70.80,0.63
BraPara1,14.0,17.0,147.56,0.63
BraPara1,15.0,16.0,132.68,0.63
BraPara1,17.0,20.0,171.36,0.63
BraPara1,18.0,17.0,154.10,0.63
BraPara1,18.0,19.0,201.70,0.63
BraPara1,18.0,16.0,234.43,0.63
BraPara1,19.0,18.0,219.55,0.63
BraPara1,24.0,19.0,505.75,0.63
BraPara1,26.0,18.0,689.60,0.63
BraPara1,30.0,23.0,659.26,0.63
BraPara1,35.0,20.0,1290.55,0.63
BraPara1,10.0,15.0,46.37,0.77
BraPara1,19.0,22.0,143.60,0.77
BraPara1,10.0,6.0,20.65,0.90
BraPara1,10.0,6.0,51.63,0.90
BraPara1,10.0,13.0,41.91,0.64
BraPara1,10.0,14.0,49.69,0.64
BraPara1,12.0,11.0,59.87,0.64
BraPara1,12.0,12.0,70.65,0.64
BraPara1,13.0,16.0,96.99,0.64
BraPara1,14.0,18.0,125.73,0.64
BraPara1,14.0,20.0,160.46,0.64
BraPara1,16.0,20.0,217.93,0.64
BraPara1,18.0,11.0,143.09,0.64
BraPara1,21.0,24.0,334.68,0.64
BraPara1,16.0,23.0,270.09,0.84
BraPara1,10.0,12.0,31.20,0.58
BraPara1,10.0,13.0,38.72,0.58
