Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
CostaRic,64.8,32.3,2130.62,0.60
CostaRic,66.4,36.9,3576.06,0.60
CostaRic,70.1,29.5,2427.47,0.60
CostaRic,70.4,32.1,2643.89,0.60
CostaRic,70.5,27.2,2278.70,0.60
CostaRic,70.8,34.5,3101.13,0.60
CostaRic,93.9,32.5,5615.16,0.60
CostaRic,97.3,31.3,4386.58,0.60
CostaRic,112.4,37.0,5848.68,0.60
CostaRic,115.0,33.3,7915.57,0.60
CostaRic,7.5,14.1,21.85,0.72
CostaRic,8.2,10.6,26.95,0.72
CostaRic,8.5,12.9,17.91,0.72
CostaRic,9.6,14.4,42.17,0.72
CostaRic,12.5,15.3,66.31,0.72
CostaRic,16.2,16.9,99.14,0.72
CostaRic,17.3,18.5,121.02,0.72
CostaRic,17.6,17.5,112.39,0.72
CostaRic,19.1,21.0,175.41,0.72
CostaRic,24.2,22.6,350.36,0.72
CostaRic,27.5,23.6,398.96,0.72
CostaRic,28.2,22.2,455.05,0.72
CostaRic,31.6,18.1,464.26,0.72
CostaRic,32.2,17.2,299.78,0.72
CostaRic,32.2,24.5,577.64,0.72
CostaRic,32.2,24.3,695.51,0.72
CostaRic,32.8,21.6,460.88,0.72
CostaRic,12.2,13.9,44.18,0.41
CostaRic,14.9,17.1,62.58,0.41
CostaRic,16.2,17.3,85.77,0.41
CostaRic,21.2,18.6,210.58,0.41
CostaRic,21.6,21.0,197.58,0.41
CostaRic,21.6,24.7,339.99,0.41
CostaRic,27.7,22.9,406.63,0.41
CostaRic,32.0,26.9,444.08,0.41
CostaRic,34.9,34.3,905.45,0.41
CostaRic,35.3,30.7,740.11,0.41
CostaRic,35.9,32.0,705.65,0.41
CostaRic,41.0,31.0,731.06,0.41
CostaRic,44.2,32.9,1310.42,0.41
CostaRic,44.5,33.0,1374.22,0.41
CostaRic,45.3,35.0,1528.54,0.41
CostaRic,50.1,40.0,1913.55,0.41
CostaRic,50.4,32.8,2172.58,0.41
CostaRic,58.2,30.4,1915.42,0.41
CostaRic,18.4,19.0,104.61,0.41
CostaRic,19.1,18.2,129.11,0.41
CostaRic,21.7,18.9,150.12,0.41
CostaRic,24.9,19.4,199.57,0.41
CostaRic,26.5,18.0,223.47,0.41
CostaRic,36.3,24.1,593.52,0.41
CostaRic,38.5,22.7,910.69,0.41
CostaRic,38.8,25.3,648.89,0.41
CostaRic,47.0,25.9,974.02,0.41
CostaRic,51.4,36.1,1433.80,0.41
CostaRic,52.9,30.3,1277.62,0.41
CostaRic,55.2,31.9,1873.10,0.41
CostaRic,63.7,34.6,3172.89,0.41
CostaRic,66.6,33.5,2121.08,0.41
CostaRic,72.0,31.4,3392.88,0.41
CostaRic,73.0,34.4,3093.40,0.41
CostaRic,74.3,33.9,3204.90,0.41
CostaRic,80.0,36.0,3976.15,0.41
CostaRic,87.5,37.0,4976.31,0.41
CostaRic,88.0,44.7,4884.07,0.41
CostaRic,93.2,40.1,6976.79,0.41
FrenchGu,8.8,9.0,13.51,0.58
FrenchGu,8.9,14.8,23.12,0.68
FrenchGu,8.0,11.9,17.90,0.56
FrenchGu,5.4,8.9,9.12,0.82
FrenchGu,6.1,9.0,11.82,0.82
FrenchGu,15.0,17.8,167.17,0.82
FrenchGu,6.4,12.8,11.79,0.70
FrenchGu,58.9,33.0,6082.91,0.58
FrenchGu,5.4,5.6,2.16,0.62
FrenchGu,10.4,14.7,50.69,0.64
FrenchGu,10.5,16.8,25.82,0.51
FrenchGu,21.3,24.8,245.89,0.52
FrenchGu,26.1,28.3,340.17,0.44
FrenchGu,117.8,38.5,11372.70,0.40
FrenchGu,14.3,17.0,73.81,0.69
FrenchGu,5.1,7.0,5.01,0.69
FrenchGu,5.4,7.7,6.66,0.69
FrenchGu,5.1,7.4,6.16,0.62
FrenchGu,5.9,7.6,7.85,0.61
FrenchGu,7.3,11.1,16.71,0.62
FrenchGu,8.9,9.0,38.17,0.68
FrenchGu,14.6,17.1,95.27,0.64
FrenchGu,18.1,22.3,83.53,0.25
FrenchGu,11.5,16.2,62.54,0.75
FrenchGu,16.6,22.3,216.41,0.63
FrenchGu,9.7,10.6,21.06,0.56
FrenchGu,11.9,17.1,51.26,0.65
FrenchGu,15.0,17.2,118.53,0.77
FrenchGu,15.0,12.3,89.96,0.75
FrenchGu,28.0,24.0,284.68,0.46
FrenchGu,21.0,18.5,187.67,0.52
FrenchGu,8.4,11.0,15.11,0.62
FrenchGu,9.4,12.8,14.66,0.52
FrenchGu,49.3,47.0,2449.17,0.52
FrenchGu,44.6,40.0,2436.11,0.64
FrenchGu,50.0,35.0,2946.30,0.65
FrenchGu,10.2,12.4,11.45,0.25
FrenchGu,18.5,20.7,240.84,0.70
FrenchGu,29.3,26.6,909.09,0.77
FrenchGu,34.4,25.4,954.03,0.65
FrenchGu,5.1,7.0,4.16,0.74
FrenchGu,7.7,6.2,10.17,0.56
FrenchGu,9.1,11.8,25.75,0.64
FrenchGu,14.6,17.0,107.60,0.73
FrenchGu,17.2,20.4,240.97,0.73
FrenchGu,44.3,31.0,1736.30,0.64
FrenchGu,5.2,8.8,8.17,0.68
FrenchGu,5.4,7.0,8.89,0.68
FrenchGu,6.1,9.5,7.30,0.68
FrenchGu,16.1,20.0,127.25,0.62
FrenchGu,19.3,15.4,97.15,0.68
FrenchGu,70.0,38.7,8243.88,0.68
FrenchGu,8.1,10.2,20.51,0.68
FrenchGu,12.1,16.6,67.13,0.59
FrenchGu,27.9,29.6,654.53,0.69
FrenchGu,5.0,10.2,7.10,0.74
FrenchGu,5.0,10.5,6.93,0.74
FrenchGu,5.1,9.0,5.38,0.74
FrenchGu,5.1,9.1,5.55,0.74
FrenchGu,5.4,6.0,4.66,0.74
FrenchGu,5.4,9.0,7.50,0.74
FrenchGu,5.7,8.4,7.26,0.74
FrenchGu,6.1,12.4,9.04,0.59
FrenchGu,6.1,10.2,9.75,0.74
FrenchGu,6.3,9.5,3.79,0.74
FrenchGu,7.3,9.8,9.64,0.65
FrenchGu,7.6,9.9,13.17,0.74
FrenchGu,7.6,6.7,10.28,0.74
FrenchGu,8.3,12.7,18.25,0.65
FrenchGu,8.4,14.4,32.49,0.63
FrenchGu,10.5,10.8,49.57,0.74
FrenchGu,11.3,15.3,50.99,0.74
FrenchGu,11.5,13.9,47.24,0.73
FrenchGu,13.1,18.0,98.51,0.65
FrenchGu,15.4,16.1,102.15,0.69
FrenchGu,16.6,15.5,130.13,0.65
FrenchGu,19.6,19.7,379.86,0.74
FrenchGu,22.3,27.8,422.54,0.74
FrenchGu,27.4,26.9,849.95,0.74
FrenchGu,27.7,25.3,818.61,0.69
FrenchGu,29.8,24.8,694.59,0.74
FrenchGu,35.0,20.4,866.76,0.67
FrenchGu,35.0,28.0,1657.59,0.74
FrenchGu,10.8,15.5,65.46,0.72
FrenchGu,5.7,5.6,8.08,0.75
FrenchGu,6.2,13.2,14.07,0.75
FrenchGu,7.6,8.2,9.42,0.65
FrenchGu,6.9,6.1,7.00,0.61
FrenchGu,5.0,8.0,4.36,0.61
FrenchGu,5.1,7.2,3.87,0.71
FrenchGu,12.7,14.8,84.34,0.66
FrenchGu,12.1,15.6,64.32,0.63
FrenchGu,15.6,17.5,89.54,0.66
FrenchGu,6.2,6.8,10.93,0.65
FrenchGu,7.2,6.1,10.24,0.65
FrenchGu,7.8,11.6,18.67,0.65
FrenchGu,12.4,12.7,53.74,0.69
FrenchGu,13.7,18.6,49.29,0.48
FrenchGu,15.3,16.0,52.84,0.53
FrenchGu,38.8,27.8,692.39,0.47
FrenchGu,47.8,27.5,1167.64,0.50
FrenchGu,9.2,11.3,33.09,0.71
FrenchGu,14.0,14.4,77.25,0.70
FrenchGu,17.5,15.8,135.94,0.64
FrenchGu,23.2,17.0,316.53,0.60
FrenchGu,13.0,17.2,73.79,0.58
FrenchGu,8.3,13.1,12.17,0.32
FrenchGu,15.0,18.2,96.70,0.54
FrenchGu,19.6,16.5,154.43,0.47
FrenchGu,21.2,19.6,194.39,0.51
FrenchGu,23.6,24.2,311.78,0.51
FrenchGu,25.5,26.0,332.59,0.57
FrenchGu,35.3,22.4,645.12,0.52
FrenchGu,19.7,23.6,219.76,0.63
FrenchGu,7.2,10.5,7.25,0.35
FrenchGu,5.6,7.4,11.51,0.48
FrenchGu,7.6,11.9,16.34,0.57
FrenchGu,7.6,10.3,16.16,0.48
FrenchGu,8.9,10.6,14.92,0.56
FrenchGu,8.0,11.7,19.64,0.68
FrenchGu,43.0,30.0,1506.19,0.60
FrenchGu,29.6,24.0,759.63,0.68
FrenchGu,5.6,10.0,9.55,0.69
FrenchGu,6.1,7.8,9.89,0.69
FrenchGu,7.0,6.9,7.69,0.69
FrenchGu,9.7,12.7,37.48,0.69
FrenchGu,11.6,18.4,71.47,0.69
FrenchGu,13.2,15.0,90.66,0.69
FrenchGu,15.4,19.0,57.49,0.44
FrenchGu,17.2,20.8,174.46,0.73
FrenchGu,18.0,22.0,251.57,0.69
FrenchGu,28.0,25.4,568.79,0.60
FrenchGu,23.9,24.7,312.57,0.55
FrenchGu,15.0,18.2,123.99,0.74
FrenchGu,11.3,16.5,51.93,0.70
FrenchGu,11.5,16.5,71.78,0.70
FrenchGu,29.6,24.5,603.65,0.70
FrenchGu,5.0,7.4,6.51,0.62
FrenchGu,5.0,9.5,8.08,0.62
FrenchGu,12.1,18.3,76.48,0.74
FrenchGu,5.6,9.4,6.91,0.74
FrenchGu,6.5,10.5,12.07,0.74
FrenchGu,7.6,6.9,11.30,0.60
FrenchGu,8.1,8.5,12.55,0.74
FrenchGu,8.5,11.2,28.63,0.74
FrenchGu,9.6,12.4,36.34,0.73
FrenchGu,10.8,12.0,28.77,0.74
FrenchGu,18.9,21.2,178.72,0.74
FrenchGu,24.4,25.0,471.24,0.70
FrenchGu,28.0,30.5,1013.82,0.74
FrenchGu,5.3,9.6,8.36,0.66
FrenchGu,5.9,6.2,5.15,0.66
FrenchGu,6.5,11.9,12.02,0.66
FrenchGu,6.8,10.8,12.50,0.66
FrenchGu,54.1,20.0,4154.76,0.63
FrenchGu,11.1,16.1,19.30,0.62
FrenchGu,12.7,16.2,56.47,0.60
FrenchGu,44.6,33.0,1363.63,0.68
FrenchGu,5.1,9.2,5.87,0.82
FrenchGu,5.0,8.0,6.96,0.58
FrenchGu,5.1,7.6,7.09,0.62
FrenchGu,5.2,12.2,12.46,0.78
FrenchGu,5.2,7.1,4.17,0.62
FrenchGu,5.2,7.4,4.53,0.52
FrenchGu,5.3,9.0,6.77,0.72
FrenchGu,5.3,8.6,5.16,0.52
FrenchGu,5.5,10.8,14.05,0.62
FrenchGu,5.6,10.4,9.01,0.62
FrenchGu,5.7,9.4,5.03,0.62
FrenchGu,5.7,10.0,3.96,0.43
FrenchGu,5.7,5.8,4.44,0.62
FrenchGu,5.9,9.5,6.65,0.72
FrenchGu,6.0,7.2,4.77,0.62
FrenchGu,6.0,7.8,6.57,0.62
FrenchGu,6.1,8.4,3.20,0.62
FrenchGu,6.1,8.4,8.77,0.58
FrenchGu,6.2,6.2,5.51,0.62
FrenchGu,6.2,4.5,4.38,0.52
FrenchGu,6.4,7.9,7.40,0.62
FrenchGu,6.4,9.5,13.41,0.72
FrenchGu,6.7,12.0,13.36,0.72
FrenchGu,6.7,10.5,10.82,0.65
FrenchGu,7.0,10.0,9.87,0.58
FrenchGu,7.0,10.6,17.04,0.71
FrenchGu,7.1,9.4,11.98,0.62
FrenchGu,7.3,12.4,22.72,0.58
FrenchGu,7.5,12.0,14.88,0.72
FrenchGu,8.2,11.4,16.25,0.61
FrenchGu,8.4,10.0,14.53,0.50
FrenchGu,8.9,12.6,23.60,0.65
FrenchGu,8.9,10.2,26.92,0.72
FrenchGu,9.1,13.8,30.04,0.68
FrenchGu,9.2,13.2,13.11,0.51
FrenchGu,9.2,15.0,38.27,0.71
FrenchGu,9.6,11.9,21.87,0.58
FrenchGu,10.2,12.1,34.81,0.52
FrenchGu,10.2,16.9,36.21,0.61
FrenchGu,10.5,10.2,18.13,0.61
FrenchGu,10.5,11.5,37.39,0.59
FrenchGu,10.7,18.2,61.66,0.70
FrenchGu,10.8,13.7,30.70,0.52
FrenchGu,10.8,16.5,51.06,0.62
FrenchGu,11.1,12.9,28.75,0.67
FrenchGu,11.1,16.3,36.22,0.60
FrenchGu,11.3,15.5,44.82,0.52
FrenchGu,11.5,10.6,44.26,0.80
FrenchGu,11.5,15.3,52.04,0.58
FrenchGu,11.8,19.1,53.13,0.66
FrenchGu,12.1,15.5,45.58,0.53
FrenchGu,12.7,19.2,64.70,0.72
FrenchGu,13.0,18.1,80.23,0.53
FrenchGu,13.1,13.5,23.44,0.62
FrenchGu,13.1,12.5,77.29,0.70
FrenchGu,13.7,13.8,45.34,0.62
FrenchGu,13.7,16.8,67.58,0.60
FrenchGu,13.9,14.4,56.60,0.61
FrenchGu,14.0,17.1,110.00,0.61
FrenchGu,14.3,24.1,240.21,0.74
FrenchGu,15.0,19.5,54.95,0.62
FrenchGu,17.2,15.3,90.76,0.62
FrenchGu,17.2,18.4,247.26,0.67
FrenchGu,17.5,22.5,287.85,0.62
FrenchGu,17.8,17.8,67.90,0.45
FrenchGu,17.8,21.1,102.28,0.55
FrenchGu,18.5,22.0,139.64,0.57
FrenchGu,19.4,20.6,231.85,0.63
FrenchGu,19.7,25.1,213.89,0.69
FrenchGu,21.7,24.5,274.99,0.70
FrenchGu,22.0,21.0,353.35,0.74
FrenchGu,22.0,24.4,358.83,0.62
FrenchGu,23.6,19.5,271.30,0.63
FrenchGu,23.6,25.6,525.64,0.81
FrenchGu,23.9,19.0,292.36,0.61
FrenchGu,31.8,23.6,893.44,0.54
FrenchGu,38.2,29.4,697.72,0.62
FrenchGu,42.7,34.0,1469.49,0.42
FrenchGu,52.2,31.2,3299.79,0.72
FrenchGu,95.5,37.0,8417.78,0.55
FrenchGu,6.4,8.7,6.58,0.46
FrenchGu,13.2,20.2,97.39,0.64
FrenchGu,14.3,16.0,43.78,0.46
FrenchGu,5.1,7.5,6.00,0.76
FrenchGu,6.7,6.8,13.27,0.76
FrenchGu,8.6,10.6,24.10,0.60
FrenchGu,10.2,8.9,31.41,0.68
FrenchGu,12.1,15.6,66.13,0.69
FrenchGu,12.7,14.3,53.97,0.57
FrenchGu,5.3,12.5,11.00,0.62
FrenchGu,15.6,17.0,143.54,0.80
FrenchGu,75.1,39.4,12607.83,0.74
FrenchGu,85.9,45.0,19288.46,0.74
FrenchGu,6.5,8.4,8.44,0.57
FrenchGu,7.3,6.2,9.43,0.57
FrenchGu,8.3,7.3,15.68,0.61
FrenchGu,11.8,9.4,24.13,0.52
FrenchGu,20.7,18.2,112.23,0.29
FrenchGu,8.9,13.8,28.97,0.54
FrenchGu,10.2,14.8,21.02,0.51
FrenchGu,10.8,14.3,36.21,0.53
FrenchGu,14.0,15.8,59.32,0.56
FrenchGu,15.9,21.8,96.36,0.59
FrenchGu,6.1,10.3,8.09,0.62
FrenchGu,6.8,11.5,10.01,0.48
FrenchGu,6.1,12.4,12.53,0.56
FrenchGu,18.1,21.5,151.11,0.53
FrenchGu,5.2,7.1,4.22,0.62
FrenchGu,9.1,14.5,42.17,0.38
FrenchGu,5.7,10.7,7.39,0.73
FrenchGu,7.3,12.6,12.89,0.73
FrenchGu,21.3,19.0,193.82,0.73
FrenchGu,5.1,7.4,5.75,0.73
FrenchGu,11.1,17.0,46.18,0.63
FrenchGu,5.1,4.9,2.92,0.63
FrenchGu,5.1,5.4,6.42,0.63
FrenchGu,5.4,3.1,3.18,0.63
FrenchGu,5.7,6.2,4.73,0.63
FrenchGu,6.1,12.4,12.70,0.63
FrenchGu,6.6,7.7,8.65,0.63
FrenchGu,6.7,8.2,11.31,0.63
FrenchGu,9.6,11.7,45.95,0.62
FrenchGu,78.5,32.0,5931.03,0.74
FrenchGu,5.1,10.0,3.86,0.59
FrenchGu,5.1,7.2,5.91,0.59
FrenchGu,5.7,7.3,6.33,0.59
FrenchGu,6.2,7.3,7.47,0.59
FrenchGu,6.4,9.5,3.85,0.59
FrenchGu,7.0,9.5,4.38,0.59
FrenchGu,7.0,10.5,14.27,0.69
FrenchGu,7.0,10.4,15.01,0.59
FrenchGu,7.1,10.4,16.49,0.59
FrenchGu,7.3,8.6,13.27,0.59
FrenchGu,7.6,11.0,15.40,0.59
FrenchGu,7.6,9.7,21.81,0.59
FrenchGu,8.0,11.0,19.96,0.59
FrenchGu,8.3,11.5,32.80,0.59
FrenchGu,8.3,11.5,34.78,0.59
FrenchGu,8.4,11.1,7.97,0.59
FrenchGu,8.4,10.5,18.65,0.59
FrenchGu,8.6,11.7,26.21,0.59
FrenchGu,8.9,12.2,27.64,0.59
FrenchGu,9.2,14.4,29.83,0.59
FrenchGu,9.2,11.7,25.23,0.59
FrenchGu,9.6,13.8,25.11,0.59
FrenchGu,10.2,10.5,10.88,0.59
FrenchGu,10.2,12.9,38.64,0.59
FrenchGu,10.5,14.5,43.03,0.59
FrenchGu,10.8,17.2,42.72,0.59
FrenchGu,10.8,10.8,30.08,0.59
FrenchGu,11.1,13.5,56.29,0.59
FrenchGu,11.9,7.6,16.66,0.59
FrenchGu,12.7,12.3,56.47,0.59
FrenchGu,13.7,13.8,47.95,0.59
FrenchGu,14.3,14.5,111.00,0.59
FrenchGu,10.8,16.5,28.25,0.49
FrenchGu,6.8,10.0,5.96,0.50
FrenchGu,10.2,13.5,54.25,0.65
FrenchGu,12.7,16.5,52.65,0.58
FrenchGu,17.8,16.5,90.11,0.57
FrenchGu,6.4,10.9,13.97,0.62
FrenchGu,5.1,9.2,6.82,0.74
FrenchGu,13.7,15.1,68.78,0.74
FrenchGu,13.1,17.0,62.19,0.57
FrenchGu,8.6,9.0,14.38,0.50
FrenchGu,6.8,7.5,10.55,0.60
FrenchGu,9.6,12.8,36.28,0.66
FrenchGu,20.7,25.0,178.14,0.56
FrenchGu,23.6,20.8,250.26,0.60
FrenchGu,17.5,15.9,195.31,0.73
FrenchGu,11.4,9.5,31.81,0.49
FrenchGu,5.6,12.1,7.63,0.71
FrenchGu,5.9,8.5,3.12,0.82
FrenchGu,7.6,15.5,16.19,0.39
FrenchGu,6.4,11.4,8.02,0.70
FrenchGu,5.2,9.4,7.74,0.70
FrenchGu,25.5,27.0,468.06,0.71
FrenchGu,64.6,38.0,3417.60,0.48
FrenchGu,24.8,19.2,199.93,0.49
FrenchGu,5.1,8.2,7.61,0.58
FrenchGu,7.3,10.3,22.57,0.71
FrenchGu,18.1,21.0,172.43,0.65
FrenchGu,7.5,9.9,13.95,0.54
FrenchGu,12.1,20.0,33.41,0.51
FrenchGu,16.2,18.3,137.65,0.58
FrenchGu,57.3,36.5,3999.49,0.74
FrenchGu,9.6,10.5,17.54,0.39
FrenchGu,14.6,20.4,52.12,0.38
FrenchGu,19.1,22.0,105.65,0.46
FrenchGu,33.7,28.2,696.82,0.45
FrenchGu,7.0,12.1,9.01,0.62
FrenchGu,11.9,13.7,33.93,0.44
FrenchGu,11.1,14.4,40.09,0.59
FrenchGu,27.4,25.5,663.99,0.60
FrenchGu,25.5,28.5,227.77,0.40
FrenchGu,5.7,7.8,5.77,0.71
FrenchGu,7.6,9.5,8.33,0.71
FrenchGu,10.5,15.4,32.27,0.68
FrenchGu,14.3,17.6,113.89,0.71
FrenchGu,18.8,22.0,157.33,0.63
FrenchGu,23.1,28.1,323.11,0.61
FrenchGu,35.0,30.0,979.84,0.71
Gabon,11.8,12.5,40.72,0.61
Gabon,12.7,16.9,98.49,0.92
Gabon,13.4,19.0,118.11,0.66
Gabon,13.7,16.9,115.97,0.72
Gabon,15.3,12.4,45.98,0.46
Gabon,18.5,23.0,242.87,0.76
Gabon,18.5,17.0,283.39,0.72
Gabon,20.1,18.0,148.44,0.61
Gabon,20.1,18.9,211.11,0.72
Gabon,20.4,17.0,339.56,0.66
Gabon,20.5,16.6,185.66,0.66
Gabon,20.7,22.0,324.25,0.76
Gabon,21.7,21.9,187.06,0.80
Gabon,25.0,26.7,315.75,0.80
Gabon,25.5,21.9,730.11,0.72
Gabon,28.3,27.8,836.09,0.92
Gabon,28.3,25.2,542.35,0.57
Gabon,28.7,28.2,1087.22,0.50
Gabon,29.9,26.8,421.61,0.61
Gabon,30.2,21.5,700.90,0.57
Gabon,30.6,17.2,235.16,0.46
Gabon,31.8,27.0,705.52,0.66
Gabon,35.0,22.0,506.07,0.66
Gabon,35.8,26.2,657.75,0.61
Gabon,36.0,18.1,618.87,0.46
Gabon,37.2,27.7,1434.88,0.92
Gabon,38.2,28.6,1257.93,0.57
Gabon,38.2,40.0,1881.63,0.66
Gabon,38.5,27.1,626.57,0.50
Gabon,38.8,25.6,1497.26,0.76
Gabon,39.7,33.2,830.14,0.50
Gabon,41.4,30.5,1483.92,0.72
Gabon,41.4,36.3,2272.15,0.80
Gabon,43.9,25.3,1011.08,0.57
Gabon,44.1,31.6,1612.76,0.66
Gabon,44.6,37.4,2610.74,0.92
Gabon,45.5,34.1,2703.86,0.76
Gabon,45.5,20.0,592.28,0.46
Gabon,46.2,30.2,1855.99,0.72
Gabon,48.4,39.4,2436.77,0.66
Gabon,48.7,35.3,2406.68,0.76
Gabon,49.7,40.1,3296.42,0.80
Gabon,49.7,29.5,2316.54,0.61
Gabon,50.0,32.8,1500.51,0.50
Gabon,50.1,40.1,4342.12,0.92
Gabon,50.9,27.4,1894.14,0.92
Gabon,50.9,20.8,904.70,0.57
Gabon,51.2,33.0,1664.22,0.50
Gabon,51.7,33.6,3415.72,0.76
Gabon,54.1,33.8,2689.05,0.66
Gabon,54.5,33.4,2264.64,0.61
Gabon,55.6,26.8,1373.76,0.46
Gabon,56.0,37.1,3649.78,0.80
Gabon,57.0,36.0,4129.12,0.76
Gabon,59.8,37.7,3957.26,0.80
Gabon,60.5,43.1,4284.40,0.66
Gabon,60.5,38.0,4427.85,0.66
Gabon,62.2,38.2,3054.39,0.50
Gabon,66.9,50.7,3476.18,0.46
Gabon,68.8,31.1,5557.52,0.72
Gabon,70.2,33.9,6105.18,0.76
Gabon,71.0,38.8,17072.68,0.76
Gabon,71.9,36.6,3100.09,0.61
Gabon,71.9,35.8,4006.01,0.72
Gabon,72.3,43.8,3670.71,0.50
Gabon,72.9,47.4,5650.48,0.80
Gabon,74.1,31.4,4548.09,0.57
Gabon,75.4,33.7,5528.51,0.66
Gabon,76.1,42.9,6099.25,0.66
Gabon,76.4,43.0,3406.91,0.46
Gabon,76.4,40.3,5113.52,0.61
Gabon,77.4,41.5,6778.92,0.66
Gabon,79.1,41.7,14756.28,0.92
Gabon,79.5,38.5,6925.19,0.76
Gabon,79.6,43.7,4388.14,0.80
Gabon,79.9,31.8,2540.93,0.57
Gabon,79.9,39.1,6887.79,0.72
Gabon,80.1,44.9,8440.24,0.61
Gabon,80.5,41.4,7245.16,0.66
Gabon,80.5,44.8,6375.64,0.80
Gabon,82.4,39.6,11249.67,0.92
Gabon,83.4,41.0,5705.91,0.46
Gabon,85.3,45.1,5295.96,0.50
Gabon,85.8,42.1,2967.47,0.50
Gabon,85.9,37.0,10293.80,0.92
Gabon,85.9,31.3,5152.21,0.57
Gabon,86.1,45.9,11174.04,0.66
Gabon,88.0,40.4,5497.54,0.50
Gabon,88.3,42.7,11631.97,0.92
Gabon,90.4,44.8,3614.90,0.46
Gabon,91.0,35.5,10176.71,0.72
Gabon,91.4,30.3,6189.17,0.57
Gabon,92.6,40.1,8784.62,0.72
Gabon,93.8,31.3,5130.72,0.57
Gabon,98.7,44.7,14374.99,0.66
Gabon,98.7,42.7,7795.79,0.46
Gabon,101.9,47.2,11525.84,0.80
Gabon,104.2,46.0,12225.38,0.66
Gabon,104.9,43.5,6685.88,0.61
Gabon,107.0,39.3,7130.94,0.66
Gabon,109.4,30.3,5129.13,0.57
Ghana,83.6,40.0,9200.00,0.67
Ghana,65.0,32.5,2990.00,0.62
Ghana,20.5,21.2,100.00,0.23
Ghana,29.5,22.5,300.00,0.27
Ghana,35.5,12.0,390.00,0.26
Ghana,132.0,45.0,15380.00,0.54
Ghana,170.0,51.0,17050.00,0.26
Ghana,23.6,23.4,380.00,0.56
Ghana,9.0,9.3,60.00,0.42
Ghana,98.0,43.7,12070.00,0.65
Ghana,13.2,15.7,170.00,0.65
Ghana,12.8,13.0,90.00,0.62
Ghana,71.5,45.5,5100.00,0.50
Ghana,6.5,8.1,10.00,0.78
Ghana,7.3,5.1,20.00,0.58
Ghana,12.4,12.0,70.00,0.62
Ghana,31.0,22.0,840.00,0.61
Ghana,32.5,27.5,700.00,0.61
Ghana,48.1,35.6,2330.00,0.61
Ghana,56.5,35.1,3300.00,0.60
Ghana,62.0,40.4,4150.00,0.60
Ghana,71.9,42.3,5930.00,0.60
Ghana,83.0,39.4,7160.00,0.60
Ghana,100.0,50.5,18610.00,0.58
Ghana,105.0,50.5,20770.00,0.58
Ghana,94.6,50.5,8630.00,0.50
Ghana,110.0,58.8,11500.00,0.40
Ghana,112.0,40.0,10830.00,0.47
Ghana,24.3,30.2,510.00,0.69
Ghana,70.0,39.7,6320.00,0.58
Ghana,89.0,50.0,8900.00,0.57
Ghana,90.0,50.5,12340.00,0.57
Ghana,7.6,11.3,60.00,0.66
Ghana,26.5,26.0,790.00,0.73
Ghana,12.0,17.0,130.00,0.78
Ghana,73.5,45.0,7360.00,0.66
Ghana,80.5,50.7,8130.00,0.66
Ghana,93.0,45.0,11730.00,0.66
Ghana,180.0,61.0,70250.00,0.62
IndiaCha,23.2,9.5,343.10,0.78
IndiaCha,23.5,10.0,446.70,0.78
IndiaCha,23.8,10.5,243.30,0.78
IndiaCha,24.2,10.5,367.50,0.78
IndiaCha,31.8,15.5,454.40,0.78
IndiaCha,10.8,8.0,31.80,0.41
IndiaCha,18.7,9.0,94.00,0.41
IndiaCha,21.6,9.5,194.60,0.41
IndiaCha,29.2,11.5,418.30,0.41
IndiaCha,29.9,12.0,228.10,0.41
IndiaCha,30.2,13.0,381.80,0.41
IndiaCha,19.4,8.5,114.90,0.71
IndiaCha,12.4,6.0,64.10,0.77
IndiaCha,14.6,7.0,51.20,0.64
IndiaCha,15.2,5.5,52.70,0.73
IndiaCha,17.1,6.0,28.00,0.73
IndiaCha,18.4,6.5,71.60,0.73
IndiaCha,23.2,11.5,205.60,0.73
IndiaCha,29.6,13.5,417.70,0.73
IndiaCha,30.2,14.5,398.50,0.73
IndiaCha,34.7,17.0,554.80,0.73
IndiaCha,17.1,8.5,81.80,0.73
IndiaCha,34.0,13.0,709.70,0.73
Jalisco,5.0,5.2,7.14,0.84
Jalisco,19.2,11.1,98.33,0.81
Jalisco,22.5,8.3,88.67,0.81
Jalisco,13.4,12.5,45.30,0.81
Jalisco,22.3,8.5,152.34,0.81
Jalisco,21.1,8.7,104.51,0.81
Jalisco,5.7,7.1,15.17,0.79
Jalisco,11.2,8.1,44.45,0.79
Jalisco,9.5,5.0,14.43,0.79
Jalisco,22.6,6.5,137.37,0.30
Jalisco,7.1,6.4,14.93,0.78
Jalisco,5.3,5.4,7.92,0.78
Jalisco,9.2,5.4,13.49,0.78
Jalisco,22.9,10.4,256.31,0.98
Jalisco,14.5,7.9,86.57,0.98
Jalisco,6.7,6.3,12.95,0.64
Jalisco,6.2,6.6,10.48,0.64
Jalisco,5.4,5.9,4.66,0.64
Jalisco,27.5,8.6,58.96,0.64
Jalisco,7.4,5.8,11.34,0.81
Jalisco,21.7,9.5,85.19,0.64
Jalisco,21.9,9.8,93.70,0.64
Jalisco,23.9,6.5,46.87,0.64
Jalisco,28.3,9.7,185.22,0.64
Jalisco,22.4,12.2,151.65,0.64
Jalisco,31.2,10.5,238.98,0.64
Jalisco,15.9,7.2,41.96,0.64
